Date,Apple_AAPL,Facebook_FB,Google_GOOG,Microsoft_MSFT,Yahoo_YHOO
2013-01-10,67.880211,31.299999,368.344269,23.284922,18.990000
2013-01-11,67.463989,31.719999,367.604095,23.610521,19.290001
2013-01-14,65.058731,30.950001,359.288177,23.663321,19.430000
2013-01-15,63.006161,30.100000,360.122742,23.944927,19.520000
2013-01-16,65.621475,29.850000,355.284210,23.795326,20.070000
2013-01-17,65.179306,30.139999,353.361725,23.980120,20.129999
2013-01-18,64.831818,29.660000,349.978729,23.980120,20.020000
2013-01-22,65.450302,30.730000,349.164032,23.892120,19.900000
2013-01-23,66.648407,30.820000,368.354218,24.296923,20.110001
2013-01-24,58.413467,31.080000,374.668152,24.314518,20.440001
2013-01-25,57.036427,31.540001,374.399902,24.534525,20.370001
2013-01-28,58.326584,32.470001,372.939392,24.560926,20.309999
2013-01-29,59.420944,30.790001,374.404846,24.648922,19.700001
